% Model,SmartRoom.mph
% Version,COMSOL 6.1.0.282
% Date,"May 4 2023, 15:48"
% Table,coarse 3x3x3 30s - Interesting Points 3x3x3
% Time (s),"Temperature (degC), Point: (0.15, 0.15, 0)","Temperature (degC), Point: (5, 0.15, 0)","Temperature (degC), Point: (9.85, 0.15, 0)","Temperature (degC), Point: (0.15, 3, 0)","Temperature (degC), Point: (5, 3, 0)","Temperature (degC), Point: (9.85, 3, 0)","Temperature (degC), Point: (0.15, 5.85, 0)","Temperature (degC), Point: (5, 5.85, 0)","Temperature (degC), Point: (9.85, 5.85, 0)","Temperature (degC), Point: (0.15, 0.15, 1.5)","Temperature (degC), Point: (5, 0.15, 1.5)","Temperature (degC), Point: (9.85, 0.15, 1.5)","Temperature (degC), Point: (0.15, 3, 1.5)","Temperature (degC), Point: (5, 3, 1.5)","Temperature (degC), Point: (9.85, 3, 1.5)","Temperature (degC), Point: (0.15, 5.85, 1.5)","Temperature (degC), Point: (5, 5.85, 1.5)","Temperature (degC), Point: (9.85, 5.85, 1.5)","Temperature (degC), Point: (0.15, 0.15, 3)","Temperature (degC), Point: (5, 0.15, 3)","Temperature (degC), Point: (9.85, 0.15, 3)","Temperature (degC), Point: (0.15, 3, 3)","Temperature (degC), Point: (5, 3, 3)","Temperature (degC), Point: (9.85, 3, 3)","Temperature (degC), Point: (0.15, 5.85, 3)","Temperature (degC), Point: (5, 5.85, 3)","Temperature (degC), Point: (9.85, 5.85, 3)","Температура окружающей среды (degC), Point: (0, 0, 0)"
0,20.162063768283588,19.344884051107044,20.289114441113895,19.362274166771783,18.642480026725366,19.379237164099322,19.884313956962956,19.207598033115517,20.120893678306743,20.635103877610618,20.26817517369119,20.308266533649032,20.241421797074736,20.00067265850032,20.26926037103459,20.436568542003442,20.344820137751412,20.08273008668874,20.6586414014032,20.510960850811784,20.773847027687395,20.494937489452695,21.02651037889723,20.458687077238324,20.609541861956075,20.534550576177878,20.731819150954493,17.899999999999977
30,20.158443587854208,19.345548915959796,20.284498689933116,19.363065978208112,18.654106786976513,19.379743699627454,19.879942022603302,19.211055983146252,20.11618466472811,20.62745487474956,20.262485140545095,20.30234858218506,20.235864930362595,20.00064052201941,20.264270951795197,20.42931350181135,20.331872261363742,20.076322811627335,20.64825509186244,20.503640138169146,20.763268114873597,20.488000342993757,21.018622490085534,20.45286755217313,20.600012571859395,20.523245714870484,20.721653892872382,17.899999999999977
60,20.15482340742483,19.346213780812604,20.27988293875228,19.36385778964444,18.66573354722766,19.380250235155586,19.875570088243762,19.214513933177045,20.11147565114959,20.619805871888445,20.256795107399057,20.29643063072109,20.230308063650455,20.000608385538555,20.259281532555804,20.422058461619258,20.31892438497607,20.06991553656593,20.63786878232179,20.496319425526508,20.75268920205974,20.481063196534876,21.01073460127384,20.447048027107996,20.59048328176266,20.511940853563146,20.71148863479027,17.899999999999977
90,20.151206153624344,19.346876552891217,20.275270736685115,19.36464720600651,18.677346566032895,19.380754838835514,19.871204306445293,19.217962333498008,20.106772153977488,20.612163928558743,20.25111021331918,20.290517260813715,20.224755970031026,20.000588781550675,20.254296146324975,20.414810367528503,20.305535104354362,20.063514527769144,20.627495465506286,20.489005263314766,20.742122991202905,20.47413204246959,21.002854767788392,20.441233008488894,20.580965043125957,20.50066035010883,20.7013313472587,17.899999999999977
120,20.147610361769466,19.34752397795893,20.270684561451503,19.36541905849066,18.68885881423472,19.38124527562894,19.86688364342797,19.22134070261427,20.102109110453057,20.604573755125728,20.24546300572456,20.28463748898713,20.219238879091222,20.000661082511044,20.249340335490274,20.407613211514388,20.288908859349363,20.057159471579894,20.61721742867536,20.48173913759615,20.731649928030663,20.46724483262483,20.995034006695562,20.435451037140922,20.57152784852883,20.48955847091014,20.691232510431178,17.899999999999977
150,20.144014569914532,19.348171403026754,20.26609838621789,19.366190910974694,18.700371062436602,19.38173571242237,19.862562980410587,19.224719071730533,20.097446066928683,20.59698358169277,20.239815798130053,20.2787577171606,20.213721788151474,20.00073338347147,20.244384524655743,20.400416055500216,20.272282614344476,20.050804415390587,20.60693939184455,20.474473011877592,20.72117686485842,20.46035762278001,20.987213245602675,20.429669065793007,20.56209065393159,20.478456591711563,20.681133673603767,17.899999999999977
180,20.14042219173706,19.348816484493057,20.261516653366243,19.366959878966213,18.711865307147264,19.382224169537437,19.858249658322734,19.228086011539347,20.092789630915433,20.589402124691333,20.234174844086624,20.272883359019886,20.20821105651919,20.000805473549917,20.23943298515684,20.393227510317047,20.254684269101062,20.044456791593916,20.596676473668992,20.467215483095742,20.710718687663757,20.453477646736246,20.979402219065037,20.423892754328392,20.552666360117087,20.467383581706258,20.67104483836897,17.899999999999977
210,20.13684627652941,19.34945026359054,20.256956344566106,19.36771493606085,18.723272727328947,19.382703079357896,19.853971738965356,19.231397831803463,20.088165060613164,20.58186270398511,20.228564048728572,20.267035109188328,20.202730993598834,20.000876546618485,20.234502044813496,20.386080492154065,20.232397825058,20.038145011621907,20.58648646747065,20.459999414326944,20.70033230032226,20.446632556779605,20.971638138876187,20.418143738497463,20.543304282256372,20.456449797704067,20.661004237310408,17.899999999999977
240,20.133279479049804,19.350077783068798,20.252407901102515,19.36846228884849,18.73463206126297,19.383176701575962,19.849713426791368,19.23467912507124,20.083558138577757,20.57434656434623,20.222969956231225,20.26120131898756,20.1972679160084,20.00094705643403,20.229582512952277,20.378956473005474,20.2075149594379,20.031853083125725,20.576336842296314,20.452806307461856,20.689985672536295,20.439806787872612,20.963900059101945,20.412409839876148,20.533976661614133,20.445593121590207,20.650990349907374,17.899999999999977
270,20.129721799298295,19.35069904292766,20.247871322975357,19.36920193732908,18.74594330894911,19.383645036191638,19.845474721800883,19.23792989134256,20.07896886480944,20.566853705774633,20.21739256659464,20.255381988417525,20.191821823748,20.001017002996377,20.22467438957341,20.371855452871273,20.180035672240592,20.025581006105483,20.5662275981461,20.445636162500307,20.679678804305695,20.43300034001527,20.95618797974248,20.406691058464446,20.52468349819037,20.43481355336445,20.64100317615987,17.899999999999977
