% Model,SmartRoom.mph
% Version,COMSOL 6.1.0.282
% Date,"May 4 2023, 15:26"
% Table,finer 3x3x3 300s - Interesting Points 3x3x3
% Time (s),"Temperature (degC), Point: (0.15, 0.15, 0)","Temperature (degC), Point: (5, 0.15, 0)","Temperature (degC), Point: (9.85, 0.15, 0)","Temperature (degC), Point: (0.15, 3, 0)","Temperature (degC), Point: (5, 3, 0)","Temperature (degC), Point: (9.85, 3, 0)","Temperature (degC), Point: (0.15, 5.85, 0)","Temperature (degC), Point: (5, 5.85, 0)","Temperature (degC), Point: (9.85, 5.85, 0)","Temperature (degC), Point: (0.15, 0.15, 1.5)","Temperature (degC), Point: (5, 0.15, 1.5)","Temperature (degC), Point: (9.85, 0.15, 1.5)","Temperature (degC), Point: (0.15, 3, 1.5)","Temperature (degC), Point: (5, 3, 1.5)","Temperature (degC), Point: (9.85, 3, 1.5)","Temperature (degC), Point: (0.15, 5.85, 1.5)","Temperature (degC), Point: (5, 5.85, 1.5)","Temperature (degC), Point: (9.85, 5.85, 1.5)","Temperature (degC), Point: (0.15, 0.15, 3)","Temperature (degC), Point: (5, 0.15, 3)","Temperature (degC), Point: (9.85, 0.15, 3)","Temperature (degC), Point: (0.15, 3, 3)","Temperature (degC), Point: (5, 3, 3)","Temperature (degC), Point: (9.85, 3, 3)","Temperature (degC), Point: (0.15, 5.85, 3)","Temperature (degC), Point: (5, 5.85, 3)","Temperature (degC), Point: (9.85, 5.85, 3)","Температура окружающей среды (degC), Point: (0, 0, 0)"
0,19.305581978195846,19.345029173967475,19.270842481773002,19.606330729673175,18.419088798042594,19.33512183647258,19.21472715344288,19.323753794381446,19.229833260362625,19.99998348721448,19.99992237261847,20.000010751652553,20.000003671414504,20.00032294107899,19.999957116307996,19.999977830231956,19.99999928185889,20.000010232685383,20.00001864455976,20.000011183950278,20.00001834678642,20.000001614818757,20.000018956679355,20.00000446445722,20.000017994522466,20.000013245183425,20.000023572097803,20
300,19.392461208491795,19.405306691835165,19.361904029005814,19.649707046937237,18.53474766045622,19.40935047414689,19.310141470359042,19.407380029184253,19.324775374740284,19.973377699695845,20.006753715397394,20.022234567288535,20.01248117215465,20.0000547291844,20.002948362656923,19.968317180722977,20.00346370084418,20.02260263548112,20.02856095300615,20.017415376476663,20.028465308568343,20.002113326687038,20.03175814064673,20.006466657728254,20.027593559327443,20.020373904829057,20.038051399346045,19.912740459861766
600,19.46975604871068,19.46114095813823,19.443824112178106,19.69083238733731,18.64621888192096,19.47740617323609,19.396163053979308,19.48073199131761,19.40934906446978,19.944568955442605,20.011904342396008,20.040965764694533,20.022849401370706,20.000478172856333,20.00427101837704,19.93486095137581,20.006389177982896,20.041791588381898,20.051442316486316,20.031760981330706,20.051806915806196,20.002973655597998,20.06176175004441,20.010869641003694,20.049758210829566,20.03688598070545,20.07173639401492,19.825522450538642
900,19.530783991742737,19.5088155246425,19.50937563882286,19.72710421120661,18.750121186065996,19.534239028647278,19.46554948664709,19.539291916300044,19.476110753189346,19.911819319839253,20.013721500905035,20.053087116880477,20.029196089154198,20.000412210516174,20.00230312341904,19.89816601482778,19.993911506608583,20.05452798911989,20.064151097165336,20.040265420550213,20.065695338162413,20.000634902040304,20.088125836601535,20.010885250316903,20.062230326682652,20.046519271246154,20.097137978000433,19.738387483079407
1200,19.587493090073565,19.554226656639344,19.570467531497457,19.76194112257258,18.851941874002023,19.58798831534125,19.53042399505472,19.594248366770444,19.538116182592205,19.877986793337755,20.014589893596735,20.06336410307165,20.034417553481376,20.00020614603909,19.99939935533922,19.860573715193993,19.975737619791687,20.065462281820146,20.074089818081404,20.0471340009708,20.076972592648303,19.997298479168762,20.113444348341375,20.009613903628008,20.07206690293924,20.054282049641245,20.120221271903404,19.65137702900938
1500,19.632966591326237,19.59318139619029,19.61968588141974,19.79221448641141,18.94771360191288,19.633288640711612,19.583275959622938,19.63996960089537,19.58778341945981,19.841166815002452,20.012485480920304,20.068290815676903,20.03623636691907,20.000071342116712,19.99358070038511,19.82045354456767,19.946756385233414,20.07116309571188,20.076480770840988,20.0491810079443,20.081018292450494,19.990548482607096,20.135363441500374,20.004356988569555,20.074711819883305,20.056766118540395,20.136561078527905,19.564532500592122
1800,19.661013452212842,19.622122139294675,19.65048812421594,19.815409694901746,19.034103269376544,19.665484454641103,19.617480713338182,19.67136682599454,19.618313867905044,19.799713237904484,20.00577018644833,20.064919144761348,20.032777599385327,20.000047064769205,19.983240996401378,19.77641259444283,19.901012733770074,20.068746677165848,20.067164981153667,20.043749656101852,20.07384770335557,19.9785039635874,20.152009967064487,19.992918375631746,20.066202326465202,20.051062801282683,20.142441598761366,19.477895231119817
2100,19.689060313099446,19.65106288239906,19.68129036701214,19.83860490339208,19.120492936840094,19.697680268570593,19.651685467053426,19.70276405109371,19.648844316350335,19.758259660806516,19.999054891976357,20.06154747384585,20.02931883185164,20.000022787421756,19.972901292417646,19.732371644317936,19.855269082306734,20.066330258619814,20.057849191466403,20.038318304259462,20.066677114260642,19.96645944456759,20.1686564926286,19.98147976269388,20.057692833047213,20.045359484024914,20.148322118994827,19.391506455240346
2400,19.71710717398605,19.680003625503446,19.71209260980828,19.861800111882417,19.206882604303757,19.729876082500027,19.685890220768613,19.734161276192992,19.679374764795625,19.716806083708548,19.99233959750444,20.058175802930293,20.025860064317953,19.999998510074192,19.962561588433857,19.688330694193155,19.809525430843394,20.06391384007378,20.048533401779082,20.032886952417016,20.059506525165716,19.954414925547837,20.185303018192712,19.970041149756014,20.049183339629053,20.039656166767088,20.154202639228345,19.305407289332265
2700,19.7451540348726,19.708944368607888,19.74289485260448,19.88499532037281,19.293272271767364,19.762071896429518,19.720094974483914,19.765558501292162,19.709905213240972,19.675352506610636,19.98562430303241,20.054804132014738,20.022401296784267,19.999974232726743,19.952221884450125,19.64428974406826,19.763781779379997,20.061497421527747,20.03921761209176,20.027455600574626,20.05233593607079,19.942370406528084,20.20194954375677,19.958602536818148,20.040673846211007,20.033952849509376,20.160083159461806,19.219638711935488
3000,19.749317097093183,19.721245641251244,19.74794411794636,19.894309550072137,19.36263160427569,19.774397997204574,19.727965583899845,19.777672310938783,19.714761262022193,19.627068178847367,19.969628376463504,20.037185838417543,20.00885875353356,19.999741160161875,19.93302076500987,19.594267487622574,19.70454098687992,20.04504241757786,20.01248667319919,20.008824237830936,20.027967394949655,19.919249830174863,20.20707208052147,19.935533371257918,20.01534439228226,20.014633424490228,20.147966185034022,19.134241544247573
3300,19.746899929069002,19.728962569992063,19.74589817521411,19.89979942847191,19.42729890572491,19.781249789253366,19.72858086784555,19.784473342858632,19.712543751712303,19.576901909574303,19.95107554105158,20.015642454897886,19.99253802717726,19.999450562384084,19.911378235188693,19.542597320251843,19.64158159429826,20.024719640098397,19.980957682994983,19.98655613738987,19.99886064255611,19.893077687005302,20.20901964078024,19.909259869771063,19.985380867600497,19.99156262284305,20.130890717179113,19.049256430695323
3600,19.74448276104488,19.736679498732997,19.743852232481856,19.90528930687168,19.491966207174016,19.788101581302158,19.729196151791314,19.79127437477854,19.710326241402413,19.526735640301297,19.9325227056396,19.994099071378287,19.976217300820906,19.999159964606292,19.889735705367514,19.490927152881,19.578622201716485,20.004396862618876,19.949428692790832,19.964288036948915,19.969753890162508,19.866905543835685,20.21096720103901,19.882986368284264,19.955417342918793,19.968491821195812,20.113815249324205,18.964723819589892
3900,19.74206559302064,19.744396427473816,19.741806289749604,19.910779185271394,19.556633508623293,19.79495337335095,19.72981143573702,19.798075406698388,19.70810873109258,19.476569371028233,19.913969870227675,19.97255568785863,19.959896574464494,19.998869366828444,19.86809317554639,19.439256985510212,19.515662809134767,19.984074085139355,19.917899702586567,19.942019936507847,19.940647137768906,19.84073340066618,20.212914761297725,19.856712866797352,19.925453818236974,19.945421019548633,20.096739781469296,18.880683943876022
4200,19.739648424996517,19.752113356214693,19.739760347017352,19.916269063671166,19.621300810072455,19.8018051653998,19.730426719682782,19.804876438618237,19.705891220782746,19.42640310175517,19.895417034815694,19.951012304338974,19.943575848108196,19.998578769050596,19.846450645725213,19.38758681813937,19.45270341655305,19.963751307659834,19.886370712382416,19.919751836066837,19.91154038537536,19.814561257496507,20.214862321556552,19.830439365310497,19.89549029355527,19.922350217901453,20.079664313614387,18.797176801982914
4500,19.737231256972336,19.75983028495557,19.737714404285043,19.921758942070937,19.685968111521618,19.808656957448648,19.73104200362843,19.811677470538086,19.703673710472913,19.376236832482107,19.876864199403656,19.929468920819318,19.927255121751784,19.99828817127286,19.824808115904034,19.33591665076858,19.389744023971332,19.943428530180313,19.85484172217815,19.897483735625883,19.8824336329817,19.788389114326947,20.216809881815266,19.80416586382364,19.865526768873565,19.89927941625416,20.062588845759535,18.71424213878737
4800,19.734814088948156,19.767547213696446,19.735668461552848,19.92724882047071,19.750635412970894,19.81550874949744,19.731657287574194,19.818478502457936,19.701456200163022,19.3260705632091,19.85831136399179,19.907925537299718,19.91093439539543,19.997997573495013,19.803165586082855,19.284246483397794,19.326784631389614,19.923105752700792,19.823312731974,19.875215635184816,19.853326880588156,19.762216971157386,20.21875744207398,19.777892362336843,19.83556324419186,19.876208614607037,20.045513377904626,18.631919426697323
