% Model,SmartRoom_Radiation.mph
% Version,COMSOL 6.1.0.282
% Date,"May 26 2023, 14:03"
% Table,3x3x3 coarser - 3x3x3
% Time (s),"Temperature (degC), Point: (2.35, 7.65, 0.15)","Temperature (degC), Point: (5.15, 7.65, 0.15)","Temperature (degC), Point: (7.95, 7.65, 0.15)","Temperature (degC), Point: (2.35, 3, 0.15)","Temperature (degC), Point: (5.15, 3, 0.15)","Temperature (degC), Point: (7.95, 3, 0.15)","Temperature (degC), Point: (2.35, -1.65, 0.15)","Temperature (degC), Point: (5.15, -1.65, 0.15)","Temperature (degC), Point: (7.95, -1.65, 0.15)","Temperature (degC), Point: (2.35, 7.65, 1.5)","Temperature (degC), Point: (5.15, 7.65, 1.5)","Temperature (degC), Point: (7.95, 7.65, 1.5)","Temperature (degC), Point: (2.35, 3, 1.5)","Temperature (degC), Point: (5.15, 3, 1.5)","Temperature (degC), Point: (7.95, 3, 1.5)","Temperature (degC), Point: (2.35, -1.65, 1.5)","Temperature (degC), Point: (5.15, -1.65, 1.5)","Temperature (degC), Point: (7.95, -1.65, 1.5)","Temperature (degC), Point: (2.35, 7.65, 2.85)","Temperature (degC), Point: (5.15, 7.65, 2.85)","Temperature (degC), Point: (7.95, 7.65, 2.85)","Temperature (degC), Point: (2.35, 3, 2.85)","Temperature (degC), Point: (5.15, 3, 2.85)","Temperature (degC), Point: (7.95, 3, 2.85)","Temperature (degC), Point: (2.35, -1.65, 2.85)","Temperature (degC), Point: (5.15, -1.65, 2.85)","Temperature (degC), Point: (7.95, -1.65, 2.85)",T_outer (degC)
0,20.00013121593338,20.000037386238205,19.99980450686496,20.000031137129895,20.000079635781788,19.999793836783113,20.000143260865002,20.000008232719324,19.999818058721246,20.000120605426787,20.000082439006235,19.999748548783145,20.000009329033958,19.999998126411356,19.99982724424501,20.000141595569175,20.000021346346443,19.999794626340076,20.00021363498945,20.00014991744672,19.99977987662345,20.000132579948,20.00007709408402,19.999801965962206,20.000141775270947,20.00017160124844,19.999780277231082,17.899999999999977
3600,20.198516322599687,20.15934489012392,19.47259985636373,20.111049023599037,20.136450891218033,19.410485949202894,20.212867110483558,20.168618506723817,19.47578267248292,20.181528569231318,20.16392421018378,19.431670973029554,19.758556704081457,20.000647741948626,19.45630016480186,20.19738753733293,20.113460077201694,19.454624418692788,20.297863654554988,20.21056576747617,19.44876749423082,20.18525892687586,20.126586034483466,19.420354365000605,20.234183018199644,20.247991946274738,19.43295515543042,17.600000000000023
7200,20.085236617983867,20.066293755710205,19.151072339992027,19.973479582963193,20.06898380842756,19.065348676329222,20.097168368160737,20.074341644644335,19.145806318569953,20.04952311517701,20.088955349001367,19.127409590129957,19.3680411640662,20.003020143419064,19.11876702382699,20.069170775493262,20.053165631455215,19.13646601724838,20.176420871793994,20.081056210493216,19.120357498082967,20.0305407700788,20.02760195272549,19.070068880794736,20.120535132166367,20.119261820123484,19.099034322106604,17.399999999999977
10800,19.911358252374214,19.914629929324235,18.83498431070609,19.775798732695876,19.954354259266495,18.73760445925177,19.921407518722503,19.916621638703305,18.822829363497135,19.863861262974865,19.964252284946895,18.826570472636945,18.985414359802633,20.004507989824162,18.800106221703345,19.886367510917466,19.9353603700726,18.82552359613635,19.99324663796483,19.898272906321267,18.796327325749644,19.816925337345026,19.88085908012681,18.736166249057362,19.940706639823645,19.933744160839183,18.770818546045632,17.100000000000023
14400,19.702732241791864,19.730993020235644,20.478111876379785,19.582353663904712,19.810618164964183,20.3407308355292,19.99424578020239,19.93619016451578,20.2543691520778,19.664113478601053,19.802582682558807,20.4677676196971,18.808423010075558,19.98378626087242,20.32554684924827,20.060582169751456,20.14117933898467,20.244718402292733,19.77068839972469,19.708258747919615,20.417238019757576,19.61258762871256,19.744564584356567,20.336913115314985,19.936500906813478,19.89144374627591,20.269072505831844,16.80000000000001
18000,19.49141029323755,19.54487544093746,22.273247548558913,19.38923723333147,19.664623804228427,22.093666137153207,20.08637190373628,19.969513835033183,21.822035239734987,19.46327282017944,19.638044986679404,22.259639994179395,18.64738613526947,19.9613413752121,21.994064311853663,20.262496495056894,20.372107084385163,21.79814799332337,19.545074505969865,19.51768357496576,22.189049298223154,19.408969743501757,19.60908073851266,22.087762097796258,19.94592107754471,19.86025501449268,21.90903532443383,16.69999999999999
21600,19.280088344683236,19.358757861639333,24.068383220738156,19.19612080275823,19.518629443492785,23.846601438777213,20.17849802727011,20.002837505550588,23.389701327392117,19.26243216175783,19.4735072908,24.051512368661747,18.486349260463328,19.938896489551723,23.662581774459,20.464410820362332,20.603034829785656,23.351577584354004,19.319460612215153,19.32710840201179,23.960860576688674,19.205351858290953,19.473596892668752,23.838611080277644,19.955341248275886,19.829066282709448,23.548998143035703,17.399999999999977
25200,19.23059789500678,19.300187539580918,23.60936694042141,19.703170699048314,19.499630224212865,23.43373057257412,20.704971423751942,20.69448020753981,23.01405483949344,19.261542749368232,19.412391584669535,23.593210439620066,18.78464978286985,19.924985922072153,23.368341903555518,21.127274809344954,21.526958393652137,23.016032892107205,19.315145460946553,19.408200554693224,23.532711860317193,19.37796532760541,19.70160372094847,23.45062712404757,20.47894476568581,20.61904370678417,23.288680278864717,17.600000000000023
28800,19.208331435795742,19.263073765469528,22.771147527908965,20.32800558490419,19.501994673588968,22.656518481876788,21.304512585776365,21.496868167159732,22.311495955706846,19.29428999518973,19.368673970272482,22.756374515593166,19.160222016956993,19.91251103428675,22.743918555986852,21.867681732404094,22.567460693335192,22.362716825103462,19.348058135516794,19.534993752808532,22.73447641584221,19.613870052821312,19.990758513099422,22.702839495884746,21.089046416181873,21.547161231844257,22.70868902880676,19.19999999999999
32400,19.186064976584703,19.22595999135808,21.932928115396578,20.952840470760123,19.504359122965184,21.879306391179398,21.904053747800845,22.299256126779596,21.608937071920195,19.327037241011112,19.324956355875372,21.919538591566152,19.53579425104425,19.900036146501122,22.119495208418243,22.608088655463234,23.60796299301842,21.70940075809972,19.38097081008698,19.661786950923897,21.936240971367226,19.849774778037215,20.279913305250318,21.95505186772192,21.699148066677935,22.4752787569044,22.1286977787488,21.19999999999999
