% Model,SmartRoom_real_4days_fine_300s.mph
% Version,COMSOL 6.1.0.282
% Date,"May 4 2023, 14:24"
% Table,fine 3x3x3 300s real temperature 4 days - Interesting Points 3x3x3
% Time (s),"Temperature (degC), Point: (0.15, 0.15, 0)","Temperature (degC), Point: (5, 0.15, 0)","Temperature (degC), Point: (9.85, 0.15, 0)","Temperature (degC), Point: (0.15, 3, 0)","Temperature (degC), Point: (5, 3, 0)","Temperature (degC), Point: (9.85, 3, 0)","Temperature (degC), Point: (0.15, 5.85, 0)","Temperature (degC), Point: (5, 5.85, 0)","Temperature (degC), Point: (9.85, 5.85, 0)","Temperature (degC), Point: (0.15, 0.15, 1.5)","Temperature (degC), Point: (5, 0.15, 1.5)","Temperature (degC), Point: (9.85, 0.15, 1.5)","Temperature (degC), Point: (0.15, 3, 1.5)","Temperature (degC), Point: (5, 3, 1.5)","Temperature (degC), Point: (9.85, 3, 1.5)","Temperature (degC), Point: (0.15, 5.85, 1.5)","Temperature (degC), Point: (5, 5.85, 1.5)","Temperature (degC), Point: (9.85, 5.85, 1.5)","Temperature (degC), Point: (0.15, 0.15, 3)","Temperature (degC), Point: (5, 0.15, 3)","Temperature (degC), Point: (9.85, 0.15, 3)","Temperature (degC), Point: (0.15, 3, 3)","Temperature (degC), Point: (5, 3, 3)","Temperature (degC), Point: (9.85, 3, 3)","Temperature (degC), Point: (0.15, 5.85, 3)","Temperature (degC), Point: (5, 5.85, 3)","Temperature (degC), Point: (9.85, 5.85, 3)","Температура окружающей среды (degC), Point: (0, 0, 0)"
0,20.010161484812784,19.39039892440752,20.27628675291089,19.228261585929374,18.57104871191899,19.77181334634139,19.717550301832887,19.679737744144234,19.94760000662842,20.444098387454517,20.311331834150792,20.578287000943646,20.439888968027788,19.99867117376573,20.319435993443165,20.498491393041945,20.1408634676136,20.47352316691655,20.552402702064228,20.507750128307123,20.884379372890862,20.208182527683448,21.170520343291855,20.318602167328663,19.78750943497647,20.422340096260257,20.81635332013849,17.899999999999977
300,19.95934372693324,19.40190643341623,20.2203416189642,19.28513302932072,18.67932059461282,19.762286033238865,19.698114558308134,19.679956479904035,19.937445802045374,20.38293538210405,20.254041066858008,20.500458017459778,20.377729995548066,19.999816664672494,20.263948440074614,20.417250501099204,20.105183628337784,20.394187979653168,20.426113196003712,20.426843022086416,20.751427511604845,20.152616801641557,21.09010071091052,20.233359389715474,19.831373227327276,20.349016432950464,20.69111939885869,17.899999999999977
600,19.91154824015598,19.412576730142234,20.167368582115387,19.33378176981796,18.783872008999253,19.753406053665913,19.678893151157354,19.67833663046565,19.925170503324637,20.32295602628301,20.198625738661633,20.425476606555435,20.318391045844407,20.000154945229667,20.209995600811055,20.33948255459927,19.976499495455187,20.318434747974152,20.30843620824976,20.348964844549414,20.625496964218314,20.0966889084811,21.012394416708844,20.151973998451695,19.8535029742103,20.2762956451096,20.572190619028106,17.899999999999977
900,19.867738828276856,19.4225587575026,20.120291453014204,19.376608027160785,18.88585878533013,19.74641825636064,19.660512634720078,19.676317887111736,19.913869006078812,20.266447518750113,20.14616897642918,20.35586239764757,20.26346041881561,20.00021152494827,20.158883809810618,20.266832576565548,19.81217571891898,20.247678283175674,20.198927988169658,20.276038938163822,20.5093907243035,20.04169677910437,20.944343554714976,20.074631794693858,19.86194378139487,20.206657695609522,20.462200831984262,17.899999999999977
1200,19.82997557629949,19.431596030626338,20.082628765365598,19.411800807013265,18.984514256696343,19.74254828994691,19.643540766574972,19.674177431952216,19.904944297762654,20.215659261931478,20.09831554355884,20.294773728302857,20.21538079605301,20.000027595333336,20.112276266523452,20.20207386667704,19.614553908109883,20.184566031444035,20.101049228095974,20.210853144647047,20.4083207204784,19.9884612306995,20.89238796932085,20.00317324092191,19.853193713149494,20.14224162694461,20.365918551579284,17.80000000000001
1500,19.79603859400629,19.43841431195426,20.048321864032914,19.435996081882422,19.07486422981856,19.73853285569504,19.62614845732702,19.670717041597754,19.892983941691,20.16651764812633,20.053099024328333,20.23760619648351,20.170604086771448,19.99983073195432,20.067971729692374,20.142231613347576,19.428188550560037,20.126408968545434,20.01509449776762,20.150183055613866,20.31775476921962,19.93627689164805,20.842784914304104,19.938007962089728,19.824394166408467,20.080798091192264,20.27921870204051,17.80000000000001
1800,19.761357421515697,19.442834502305573,20.008820314419665,19.451566224551925,19.156012088732837,19.73084772617085,19.606547990177944,19.665343852194894,19.873689744758735,20.113611210056433,20.006887403552753,20.177102801656133,20.12338239019283,19.99987948357699,20.022263643725182,20.081297896886326,19.296064425886925,20.067493423268616,19.934787847899543,20.0879669005281,20.226871233570137,19.883782615239568,20.779051242182163,19.876104383041763,19.783487148197764,20.01819673132809,20.19223957789825,17.80000000000001
2100,19.726676249025218,19.447254692656884,19.96931876480653,19.467136367221542,19.237159947647115,19.723162596646716,19.58694752302881,19.659970662791977,19.854395547826527,20.060704771986707,19.96067578277706,20.11659940682864,20.076160693614383,19.99992823519966,19.97655555775799,20.020364180425076,19.163940301213813,20.008577877991797,19.85448119803152,20.025750745442338,20.13598769792077,19.831288338831087,20.71531757006028,19.8142008039938,19.742580129987005,19.955595371463858,20.105260453756102,17.69999999999999
2400,19.691995076534624,19.45167488300808,19.92981721519328,19.482706509891102,19.318307806561393,19.715477467122582,19.567347055879793,19.654597473389117,19.83510135089432,20.00779833391681,19.914464162001366,20.056096012001262,20.028938997035823,19.99997698682239,19.93084747179074,19.95943046396377,19.0318161765407,19.94966233271498,19.774174548163444,19.963534590356517,20.04510416227123,19.778794062422662,20.651583897938394,19.752297224945835,19.701673111776245,19.892994011599626,20.0182813296139,17.80000000000001
2700,19.65731390404403,19.456095073359393,19.890315665580033,19.498276652560662,19.399455665475784,19.70779233759845,19.54774658873066,19.6492242839862,19.815807153962112,19.954891895847027,19.868252541225786,19.995592617173827,19.98171730045732,20.00002573844506,19.885139385823607,19.89849674750252,18.899692051867646,19.89074678743816,19.693867898295366,19.901318435270753,19.954220626621805,19.726299786014124,20.587850225816567,19.69039364589787,19.6607660935656,19.830392651735337,19.93130220547164,17.80000000000001
3000,19.630353648580012,19.4564149012931,19.86109312045062,19.503579635308483,19.464067585127736,19.701193245907916,19.529682703461276,19.643723932364594,19.798007312109632,19.910299264909895,19.829260204684317,19.946938060421246,19.9428397918673,19.99989966542671,19.846598701392907,19.84950942900815,18.82546060098514,19.843197583018082,19.633052823621995,19.85129552288811,19.886524538163542,19.680972950071123,20.54107201671752,19.640489704748802,19.616379271189544,19.779635425113156,19.86593521814791,17.69999999999999
3300,19.60552058454175,19.45560503754018,19.834702545944253,19.506053910730884,19.524123684778885,19.694893368722546,19.512042162179,19.63818854625407,19.780619180330064,19.867997172672517,19.792256854615516,19.901547979464794,19.906261192212867,19.99972542643576,19.810032709222355,19.80381346505567,18.767179172473504,19.798779921487153,19.57760787680826,19.804631973290952,19.825216828013026,19.637620817113543,20.4989652106961,19.593891786286008,19.571033727257884,19.732141378057577,19.806522595049614,17.69999999999999
3600,19.580687520503375,19.454795173787375,19.808311971437945,19.50852818615317,19.584179784430034,19.688593491537176,19.494401620896838,19.632653160143605,19.76323104855055,19.82569508043514,19.755253504546715,19.8561578985084,19.869682592558547,19.99955118744481,19.773466717051747,19.758117501103243,18.708897743961984,19.754362259956224,19.52216292999458,19.757968423693796,19.76390911786251,19.594268684155963,20.456858404674733,19.547293867823328,19.52568818332611,19.684647331001997,19.747109971951375,17.600000000000023
3900,19.555854456465113,19.45398531003451,19.78192139693158,19.511002461575572,19.64423588408124,19.682293614351863,19.47676107961462,19.627117774033195,19.74584291677104,19.78339298819776,19.718250154477914,19.810767817552005,19.833103992904057,19.999376948453857,19.736900724881252,19.712421537150817,18.65061631545035,19.70994459842518,19.4667179831809,19.71130487409664,19.702601407711995,19.550916551198384,20.414751598653424,19.500695949360534,19.480342639394394,19.637153283946418,19.687697348853135,17.600000000000023
4200,19.531021392426737,19.453175446281648,19.75553082242527,19.513476736997973,19.704291983732332,19.67599373716655,19.459120538332456,19.621582387922672,19.728454784991527,19.741090895960383,19.68124680440917,19.76537773659561,19.79652539324968,19.999202709462907,19.700334732710644,19.666725573198335,18.59233488693883,19.665526936894253,19.41127303636722,19.664641324499485,19.641293697561423,19.507564418240804,20.37264479263206,19.454098030897853,19.434997095462677,19.58965923689084,19.62828472575478,17.600000000000023
4500,19.506188328388475,19.452365582528785,19.729140247918906,19.515951012420373,19.76434808338354,19.66969385998118,19.441479997050237,19.616047001812206,19.711066653212015,19.698788803723062,19.64424345434037,19.719987655639216,19.759946793595248,19.999028470472012,19.663768740540092,19.621029609245852,18.534053458427195,19.621109275363324,19.35582808955354,19.617977774902272,19.579985987410964,19.464212285283168,20.330537986610693,19.407500112435116,19.38965155153096,19.542165189835373,19.56887210265654,17.5
4800,19.481355264350157,19.45155571877592,19.702749673412598,19.518425287842717,19.824404183034687,19.663393982795867,19.423839455768018,19.61051161570174,19.693678521432446,19.65648671148574,19.607240104271625,19.674597574682764,19.72336819394087,19.99885423148106,19.62720274836954,19.575333645293426,18.475772029915674,19.576691613832395,19.30038314273986,19.571314225305173,19.51867827726045,19.42086015232553,20.288431180589328,19.36090219397238,19.344306007599243,19.494671142779737,19.509459479558245,17.5
