% Model,SmartRoom.mph
% Version,COMSOL 6.1.0.282
% Date,"May 26 2023, 16:18"
% Table,04-08 fine 3x3x3  - 3x3x3
% Time (s),"Temperature (degC), Point: (2.35, 7.65, 0.15)","Temperature (degC), Point: (5.15, 7.65, 0.15)","Temperature (degC), Point: (7.95, 7.65, 0.15)","Temperature (degC), Point: (2.35, 3, 0.15)","Temperature (degC), Point: (5.15, 3, 0.15)","Temperature (degC), Point: (7.95, 3, 0.15)","Temperature (degC), Point: (2.35, -1.65, 0.15)","Temperature (degC), Point: (5.15, -1.65, 0.15)","Temperature (degC), Point: (7.95, -1.65, 0.15)","Temperature (degC), Point: (2.35, 7.65, 1.5)","Temperature (degC), Point: (5.15, 7.65, 1.5)","Temperature (degC), Point: (7.95, 7.65, 1.5)","Temperature (degC), Point: (2.35, 3, 1.5)","Temperature (degC), Point: (5.15, 3, 1.5)","Temperature (degC), Point: (7.95, 3, 1.5)","Temperature (degC), Point: (2.35, -1.65, 1.5)","Temperature (degC), Point: (5.15, -1.65, 1.5)","Temperature (degC), Point: (7.95, -1.65, 1.5)","Temperature (degC), Point: (2.35, 7.65, 2.85)","Temperature (degC), Point: (5.15, 7.65, 2.85)","Temperature (degC), Point: (7.95, 7.65, 2.85)","Temperature (degC), Point: (2.35, 3, 2.85)","Temperature (degC), Point: (5.15, 3, 2.85)","Temperature (degC), Point: (7.95, 3, 2.85)","Temperature (degC), Point: (2.35, -1.65, 2.85)","Temperature (degC), Point: (5.15, -1.65, 2.85)","Temperature (degC), Point: (7.95, -1.65, 2.85)",T_outer (degC)
0,20.00001830752916,20.000040125499538,19.999788297567136,20.000017354357965,20.00006233122997,19.999773058323967,20.000142449473344,20.00004467234521,19.999771592859304,20.000064827763595,20.00007070533036,19.99967028899158,19.999934916069947,20.000000015491196,19.999795565429167,20.00016346267006,20.000024374780708,19.99976481635946,20.000119527396237,20.000043734677433,19.999763549815214,19.999924500845907,20.000040095843644,19.99977012222098,20.00016981793874,19.999990371333297,19.99979918490874,17.899999999999977
300,20.022769753671298,20.01923261083988,19.92162030779764,20.015762928545996,20.02502950666792,19.914699238227342,20.05288062864861,20.029064636234864,19.916051918398637,20.026255190421125,20.031991767894908,19.886902416081,19.999975772022367,19.999998819387258,19.921588685530594,20.061364651396616,20.02353852247262,19.912493269737183,20.04614097649892,20.03060856546466,19.91447764623649,20.018012052623646,20.02538906556805,19.914142449018414,20.060678299274173,20.0133891491314,19.924698020930748,17.899999999999977
600,20.048894988209668,20.037153364401718,19.852412925923147,20.032727077398476,20.047097436807235,19.838618276375314,20.09899077815794,20.056972925491777,19.84236482178983,20.04996808437852,20.05977633552311,19.792534499282397,19.99472125475569,20.000016965191094,19.850616390543962,20.114300451505642,20.047104054875035,19.835177755602558,20.087264773904963,20.059979171404507,19.840100302646476,20.04310774186507,20.049255384821663,19.83790494045195,20.112217433974934,20.030606627661882,19.857613271658124,17.899999999999977
900,20.075357714897677,20.05433515662469,19.787781310766718,20.04969983179234,20.06716521597923,19.76716465743374,20.141279596990614,20.08381472822225,19.773829427778196,20.072008952325973,20.085018431615936,19.707512533410977,19.982735462610265,20.00003293528198,19.783347158529182,20.16231241804718,20.070120073150235,19.763041739163214,20.125390567635236,20.088069717565702,19.77125466156724,20.069670650807666,20.07187656960889,19.766493844688853,20.158682836619732,20.049488126596543,19.79462236846473,17.899999999999977
1200,20.101351325975713,20.070619929880024,19.728362526135072,20.06630427414268,20.084634189641122,19.701004257760303,20.178945978604588,20.10913421759642,19.711180564591984,20.091894291059816,20.10709903413715,19.633106873286806,19.96059984351416,20.000039000326467,19.720301908804686,20.20428181517792,20.09215531388503,19.69686512928115,20.15979472684222,20.11428902078245,19.70868697482348,20.096604023719806,20.092778570471012,19.700600402410373,20.19906403676771,20.070089090226077,19.736295424282048,17.80000000000001
1500,20.1212079075176,20.08286697690056,19.68032111917222,20.078358401814853,20.09660751636585,19.647119229294276,20.205297962921293,20.127659843284448,19.661156937764588,20.105192719533306,20.12207075338091,19.57824148285215,19.929475444227364,20.000043787121967,19.66785310386524,20.231970436545566,20.10862962265918,19.643930486121803,20.18415017988093,20.13277921500969,19.65908307615689,20.11733462716529,20.10793020228118,19.647205792349155,20.22575853038279,20.087381868343527,19.688532455048176,17.80000000000001
1800,20.13206403351205,20.089842308562766,19.64416797115092,20.08376174970698,20.102927719527656,19.6064264656855,20.219207201786276,20.137329651562595,19.624212829824046,20.110655793314436,20.129508752685524,19.541956284251114,19.89562113886933,20.000057532808853,19.627173633476843,20.244184129635187,20.117562215735916,19.604951421992496,20.197030940158697,20.141348447843995,19.622651416068834,20.128035380334325,20.116061968689564,19.607102121369337,20.237945498670967,20.09764419871675,19.65200244437642,17.80000000000001
2100,20.142920159506616,20.09681764022497,19.608014823129622,20.089165097599107,20.10924792268952,19.565733702076727,20.233116440651315,20.146999459840686,19.58726872188356,20.116118867095565,20.136946751990138,19.505671085650135,19.861766833511297,20.00007127849574,19.58649416308856,20.256397822724864,20.12649480881248,19.56597235786319,20.209911700436464,20.149917680678243,19.58621975598078,20.1387361335033,20.124193735098004,19.566998450389406,20.250132466959144,20.107906529089803,19.615472433704667,17.69999999999999
2400,20.153776285501124,20.10379297188723,19.571861675108266,20.094568445491234,20.115568125851382,19.525040938467953,20.247025679516355,20.156669268118833,19.550324613942962,20.121581940876638,20.144384751294638,19.469385887049157,19.827912528153263,20.000085024182624,19.54581469270022,20.268611515814484,20.135427401889217,19.52699329373388,20.22279246071423,20.15848691351249,19.549788095892666,20.14943688667239,20.132325501506386,19.52689477940953,20.262319435247377,20.118168859463026,19.578942423032913,17.80000000000001
2700,20.164632411495575,20.110768303549435,19.535708527086967,20.099971793383304,20.121888329013245,19.48434817485918,20.260934918381338,20.166339076396923,19.513380506002477,20.127045014657767,20.15182275059925,19.433100688448178,19.79405822279523,20.00009876986951,19.50513522231182,20.280825208904105,20.144359994965782,19.488014229604573,20.235673220992,20.167056146346795,19.51335643580461,20.160137639841423,20.140457267914883,19.486791108429713,20.274506403535497,20.128431189836135,19.542412412361216,17.80000000000001
3000,20.16427426364254,20.109705738882894,19.506506839092765,20.09578833546601,20.121426618170062,19.452524396635454,20.26244289001096,20.165161849976357,19.48397446983256,20.123128895659875,20.151159689772157,19.405116510590574,19.7598493750304,20.000271356676592,19.473197154972922,20.279787828899828,20.144388437590067,19.45760740705174,20.236242166377963,20.164534976982736,19.484181011292208,20.157910156701405,20.13985977316048,19.455276116700702,20.273674808363126,20.127031884806627,19.512683871070806,17.69999999999999
3300,20.160826468913,20.106428651758563,19.47922034926927,20.088963614723752,20.119096420815367,19.423144114385252,20.26053418597371,20.160996154812267,19.456645249354665,20.11662871334545,20.148264704214853,19.37941934865205,19.72554284721474,20.000487705833166,19.443667433372184,20.275099643043063,20.141963695906043,19.429562324525136,20.23341908113059,20.15895828864575,19.457004753724163,20.15212081253759,20.136857277881745,19.42612739374482,20.26925646611494,20.122419680227495,19.484829203997606,17.69999999999999
3600,20.15737867418352,20.103151564634118,19.451933859445774,20.082138893981437,20.116766223460672,19.393763832134994,20.258625481936406,20.156830459648177,19.429316028876656,20.110128531031023,20.145369718657548,19.35372218671364,19.691236319399025,20.000704054989797,19.41413771177139,20.270411457186356,20.13953895422202,19.40151724199842,20.230595995883164,20.15338160030865,19.42982849615612,20.14633146837366,20.133854782602953,19.396978670789053,20.26483812386664,20.11780747564825,19.45697453692452,17.600000000000023
3900,20.153930879454037,20.09987447750973,19.424647369622278,20.075314173239178,20.11443602610592,19.36438354988468,20.2567167778991,20.152664764484143,19.401986808398703,20.10362834871654,20.142474733100244,19.328025024775172,19.656929791583366,20.000920404146257,19.38460799017065,20.265723271329648,20.137114212537938,19.373472159471703,20.22777291063568,20.14780491197166,19.40265223858802,20.140542124209787,20.13085228732416,19.367829947833116,20.260419781618396,20.113195271069003,19.42911986985132,17.600000000000023
4200,20.150483084724556,20.096597390385284,19.39736087979884,20.068489452496863,20.11210582875117,19.33500326763442,20.254808073861795,20.148499069319996,19.37465758792075,20.097128166402058,20.13957974754294,19.30232786283665,19.62262326376765,20.00113675330283,19.355078268569855,20.261035085472827,20.134689470853857,19.345427076945043,20.22494982538825,20.14222822363456,19.375475981019974,20.134752780045915,20.127849792045367,19.338681224877348,20.256001439370152,20.108583066489757,19.401265202778177,17.600000000000023
