% Model,SmartRoom_09-11.mph
% Version,COMSOL 6.1.0.282
% Date,"May 29 2023, 10:34"
% Table,09-11 3x3x3 - Time (s)
% Time (s),"Temperature (degC), Point: (2.35, 7.65, 0.15)","Temperature (degC), Point: (5.15, 7.65, 0.15)","Temperature (degC), Point: (7.95, 7.65, 0.15)","Temperature (degC), Point: (2.35, 3, 0.15)","Temperature (degC), Point: (5.15, 3, 0.15)","Temperature (degC), Point: (7.95, 3, 0.15)","Temperature (degC), Point: (2.35, -1.65, 0.15)","Temperature (degC), Point: (5.15, -1.65, 0.15)","Temperature (degC), Point: (7.95, -1.65, 0.15)","Temperature (degC), Point: (2.35, 7.65, 1.5)","Temperature (degC), Point: (5.15, 7.65, 1.5)","Temperature (degC), Point: (7.95, 7.65, 1.5)","Temperature (degC), Point: (2.35, 3, 1.5)","Temperature (degC), Point: (5.15, 3, 1.5)","Temperature (degC), Point: (7.95, 3, 1.5)","Temperature (degC), Point: (2.35, -1.65, 1.5)","Temperature (degC), Point: (5.15, -1.65, 1.5)","Temperature (degC), Point: (7.95, -1.65, 1.5)","Temperature (degC), Point: (2.35, 7.65, 2.85)","Temperature (degC), Point: (5.15, 7.65, 2.85)","Temperature (degC), Point: (7.95, 7.65, 2.85)","Temperature (degC), Point: (2.35, 3, 2.85)","Temperature (degC), Point: (5.15, 3, 2.85)","Temperature (degC), Point: (7.95, 3, 2.85)","Temperature (degC), Point: (2.35, -1.65, 2.85)","Temperature (degC), Point: (5.15, -1.65, 2.85)","Temperature (degC), Point: (7.95, -1.65, 2.85)",T_outer (degC)
0,20.000004184886166,20.00000956212841,19.999949180474232,20.00000864160353,20.00000949245424,19.999945524258237,20.000034175469693,20.00001341155877,19.99994516926637,20.000015157364544,20.00001698451939,19.999920767102992,19.99996180889434,19.999999810068914,19.99995097010833,20.00004146065305,20.00002233242708,19.999943575513953,20.000028397186043,20.000010346699355,19.999943284884694,20.00001617535196,20.000007290899134,19.9999448652502,20.000040553858355,20.000018460459557,19.99995186438997,19.30000000000001
300,20.00532032690336,20.00466406075833,19.980335898860403,20.005252803670373,20.005189456663345,19.97864532534652,20.01335898587621,20.007781356873238,19.97892064343631,20.006375756102273,20.007975961260684,19.971281202870614,20.000192157941683,19.999997087408815,19.980438323179555,20.015986795172978,20.009261592905546,19.97806759302034,20.011438483191,20.00741698608806,19.978497022563374,20.008244446733045,20.005657065443017,19.978496706273745,20.015267516654944,20.007454110512526,19.98116904387973,19.19999999999999
600,20.01328671510896,20.010557240599212,19.956863405306535,20.011534868000865,20.011750035963473,19.952969153282652,20.029157347043054,20.017481849914986,19.95385796363354,20.014170593597157,20.017534962288266,19.938310876199466,20.001019675301904,20.000007247801022,19.956672970074692,20.034734654480985,20.02039869064606,19.951848921072497,20.025222196449818,20.017059933090252,19.95309637073268,20.01836246118455,20.01309243044159,19.952712824044966,20.033029844172404,20.016491270742222,19.95853931199383,19.30000000000001
900,20.021071583919195,20.01544684954814,19.938657650654932,20.016791709827316,20.017187861000593,19.932833630063612,20.041214877384505,20.025561035788883,19.934556327915402,20.020336007427147,20.024656648848577,19.9143571042095,20.001450485595115,20.000013828651106,19.937721808231174,20.04868314714014,20.028508155651707,19.931515741953945,20.03599157854387,20.025233020589496,19.933722510107145,20.02638981910951,20.019494277165393,19.932585038044976,20.04617867205559,20.02341694783206,19.940810000757835,19.100000000000023
1200,20.02798699251275,20.019511927850772,19.923500613994634,20.02097825021235,20.021528470675435,19.915848675901884,20.05022017279157,20.031911107867643,19.918717236902467,20.02493462860923,20.02977224497647,19.896553494797274,19.998161119489737,20.000009604711977,19.92128929000347,20.05839484046419,20.034263542553276,19.914735483288723,20.044242756216192,20.03161777413868,19.917993078328493,20.032409723068213,20.024741396235868,19.91571877421086,20.05544452557058,20.02868986218232,19.925808037620357,19.30000000000001
1499.9999999999998,20.034279133524592,20.023469382900714,19.907836769033167,20.02486374294449,20.025602182451337,19.898283023349904,20.058842087487562,20.037754486632025,19.90243080743545,20.029167339137928,20.03462344456881,19.878662482750656,19.99198403600161,19.999998405145902,19.904168770764954,20.067345696246548,20.039806078599327,19.89751128144701,20.052135772347356,20.03735813453261,19.901814250837333,20.03796252287566,20.02962152220806,19.898297689785295,20.06413805753209,20.03380509674389,19.91024287875956,19.19999999999999
1800,20.040571274536433,20.02742683795077,19.8921729240717,20.028749235676628,20.02967589422724,19.88071737079798,20.0674640021835,20.04359786539635,19.886144377968378,20.03340004966674,20.039474644161146,19.86077147070415,19.985806952513542,19.99998720557994,19.887048251526437,20.076296552028907,20.045348614645263,19.88028707960524,20.060028788478462,20.043098494926596,19.885635423346116,20.04351532268305,20.034501648180196,19.880876605359788,20.072831589493603,20.038920331305462,19.894677719898823,19
2099.9999999999995,20.046750386098438,20.03132001625994,19.87586874533639,20.032479633505886,20.033710462079853,19.862467250120233,20.07608455012388,20.049336673310563,19.869209559323224,20.03750705336637,20.044293014505115,19.84220054540799,19.978896026992743,19.999979690579664,19.869252554539003,20.085196747953717,20.05086333980546,19.862400815999933,20.067892490589543,20.048718589873715,19.86880371819734,20.048936572695993,20.039312071135157,19.86277320688987,20.081488920605864,20.043922913141557,19.878467601715556,19.19999999999999
2400,20.05175810154435,20.034547053800793,19.852928380217804,20.034602684160063,20.03733935654583,19.837123550684396,20.084690933505158,20.053991746958673,19.845555071014246,20.040311277201113,20.048771154457086,19.816583246434448,19.964379829495726,20.000010361078296,19.844459560881432,20.09357192353673,20.056089843058658,19.837653185027534,20.075452392856562,20.053092297463365,19.845205826414826,20.052994488475917,20.043400117366446,19.83759855377832,20.089771079281547,20.04775800309625,19.85557335964461,19.30000000000001
2700,20.05676581699015,20.03777409134176,19.82998801509916,20.03672573481424,20.04096825101186,19.81177985124856,20.09329731688655,20.058646820606896,19.82190058270527,20.043115501035857,20.053249294408943,19.79096594746079,19.949863631998767,20.000041031576927,19.819666567223805,20.101947099119684,20.0613163463118,19.812905554055135,20.083012295123467,20.057466005053016,19.821607934632425,20.057052404255842,20.04748816359779,19.812423900666715,20.09805323795723,20.05159309305094,19.832679117573775,19
2999.9999999999995,20.06177353243595,20.041001128882613,19.807047649980518,20.038848785468474,20.044597145477894,19.786436151812723,20.101903700267826,20.063301894255005,19.79824609439629,20.045919724870487,20.057727434360913,19.76534864848719,19.93534743450175,20.00007170207556,19.794873573566235,20.11032227470264,20.06654284956494,19.788157923082736,20.09057219739043,20.061839712642666,19.79801004284991,20.061110320035823,20.05157620982908,19.78724924755511,20.106335396632915,20.055428183005574,19.809784875502828,19.100000000000023
3300,20.066781247881806,20.044228166423522,19.784107284861932,20.040971836122708,20.048226039943984,19.761092452376886,20.110510083649217,20.06795696790317,19.774591606087313,20.048723948705288,20.062205574312827,19.739731349513647,19.92083123700479,20.000102372574247,19.77008057990861,20.11869745028571,20.071769352818194,19.76341029211028,20.098132099657448,20.066213420232316,19.77441215106745,20.065168235815747,20.055664256060368,19.762074594443504,20.114617555308598,20.059263272960266,19.786890633431995,19
3600,20.071788963327663,20.047455203964432,19.76116691974329,20.043094886776885,20.05185493440996,19.73574875294105,20.119116467030608,20.07261204155128,19.750937117778278,20.05152817254003,20.06668371426474,19.714114050540047,19.90631503950783,20.000133043072935,19.745287586251038,20.127072625868664,20.076995856071278,19.73866266113788,20.105692001924353,20.070587127822023,19.750814259284994,20.069226151595615,20.059752302291713,19.7368999413319,20.122899713984282,20.0630983629149,19.763996391361047,18.899999999999977
3899.9999999999995,20.07679667877352,20.050682241505342,19.738226554624703,20.04521793743112,20.055483828875936,19.710405053505212,20.127722850411942,20.077267115199447,19.727282629469357,20.05433239637472,20.071161854216655,19.688496751566447,19.89179884201087,20.000163713571567,19.720494592593468,20.13544780145162,20.082222359324533,19.713915030165424,20.113251904191316,20.07496083541173,19.72721636750248,20.07328406737554,20.06384034852306,19.71172528822035,20.131181872659965,20.06693345286959,19.741102149290157,18.80000000000001
4199.999999999999,20.08033197924766,20.05274975574457,19.71617422543551,20.045970571486805,20.058075533096257,19.686184849297717,20.134433836213702,20.08040632463633,19.70461831629075,20.055762974299455,20.074405879333085,19.664254563335646,19.87640203360138,20.00021832637333,19.69675943105176,20.141777127887337,20.08609641104266,19.69028407000917,20.11898071866085,20.07779276380745,19.7046046171497,20.075690988722215,20.06669641012553,19.687653733464174,20.13741272609542,20.069263763521633,19.719041299631044,18.600000000000023
4500,20.076973700536314,20.049388592707544,19.698279519006917,20.040307164194985,20.055811301166045,19.667224645477575,20.132270915165975,20.07644853344732,19.686589823040833,20.05076239182688,20.071872003174576,19.64645039358237,19.856882365010506,20.000385032684846,19.677976847143498,20.13852816058818,20.083638530574035,19.67188115958311,20.116136712987895,20.073406362341018,19.686609801672034,20.07036825431311,20.063784543693373,19.66874668464493,20.134039741360482,20.064548971075112,19.700882241717864,18.5
4800,20.073615421825025,20.046027429670517,19.68038481257838,20.034643756903165,20.053547069235776,19.64826444165749,20.13010799411819,20.07249074225831,19.66856132979092,20.045761809354303,20.069338127015953,19.628646223829094,19.837362696419632,20.00055173899642,19.659194263235236,20.135279193288966,20.081180650105466,19.653478249157047,20.11329270731494,20.069019960874527,19.66861498619437,20.06504551990406,20.060872677261102,19.64983963582563,20.130666756625658,20.059834178628535,19.68272318380474,18.69999999999999
5099.999999999999,20.07025714311368,20.042666266633546,19.66249010614979,20.028980349611345,20.051282837305507,19.629304237837346,20.127945073070464,20.0685329510693,19.650532836540947,20.040761226881784,20.066804250857274,19.61084205407576,19.817843027828758,20.00071844530794,19.64041167932703,20.13203022598975,20.078722769636897,19.635075338731042,20.110448701641985,20.064633559408094,19.650620170716707,20.059722785495012,20.057960810828945,19.630932587006328,20.127293771890777,20.055119386182014,19.66456412589156,18.600000000000023
5400,20.066898864402333,20.039305103596462,19.644595399721197,20.023316942319582,20.049018605375295,19.610344034017203,20.125782152022794,20.06457515988035,19.632504343290975,20.03576064440915,20.06427037469865,19.593037884322484,19.79832335923794,20.00088515161957,19.62162909541877,20.128781258690537,20.07626488916833,19.616672428304923,20.107604695969087,20.06024715794166,19.6326253552391,20.054400051085963,20.05504894439673,19.612025538187027,20.123920787155953,20.050404593735436,19.646405067978435,18.69999999999999
5700,20.063540585691044,20.035943940559434,19.626700693292605,20.017653535027762,20.046754373445026,19.59138383019706,20.12361923097501,20.060617368691396,19.61447585004106,20.03076006193669,20.061736498540085,19.575233714569208,19.778803690647067,20.001051857931145,19.602846511510563,20.12553229139138,20.07380700869976,19.59826951787886,20.104760690296075,20.055860756475226,19.61463053976138,20.049077316676858,20.052137077964574,19.593118489367725,20.120547802421015,20.04568980128886,19.628246010065254,18.399999999999977
5999.999999999999,20.060182306979755,20.032582777522407,19.608805986864013,20.011990127735885,20.044490141514757,19.572423626376917,20.12145630992734,20.05665957750233,19.596447356791145,20.025759479464114,20.059202622381576,19.557429544815932,19.759284022056136,20.001218564242663,19.5840639276023,20.122283324092166,20.071349128231077,19.5798666074528,20.10191668462312,20.051474355008736,19.596635724283715,20.043754582267752,20.04922521153236,19.574211440548424,20.11717481768619,20.040975008842395,19.61008695215213,18.600000000000023
6300,20.05682402826841,20.02922161448538,19.59091128043542,20.00632672044412,20.042225909584488,19.55346342255683,20.119293388879555,20.052701786313378,19.578418863541174,20.020758896991538,20.056668746222954,19.5396253750626,19.73976435346532,20.001385270554238,19.565281343694096,20.11903435679295,20.068891247762565,19.56146369702674,20.099072678950165,20.047087953542302,19.57864090880605,20.03843184785876,20.046313345100145,19.555304391729067,20.11380183295131,20.036260216395817,19.591927894239006,18.5
6600,20.053465749557063,20.02586045144841,19.573016574006886,20.0006633131523,20.03996167765422,19.53450321873669,20.117130467831828,20.04874399512437,19.560390370291202,20.015758314519076,20.05413487006433,19.521821205309266,19.720244684874444,20.001551976865812,19.546498759785834,20.115785389493738,20.06643336729394,19.543060786600677,20.09622867327721,20.04270155207587,19.560646093328444,20.03310911344971,20.04340147866793,19.536397342909822,20.11042884821643,20.031545423949296,19.573768836325826,18.5
