% Model,SmartRoom.mph
% Version,COMSOL 6.1.0.282
% Date,"May 26 2023, 17:05"
% Table,09-12 fine 3x3x3 - 3x3x3
% Time (s),"Temperature (degC), Point: (2.35, 7.65, 0.15)","Temperature (degC), Point: (5.15, 7.65, 0.15)","Temperature (degC), Point: (7.95, 7.65, 0.15)","Temperature (degC), Point: (2.35, 3, 0.15)","Temperature (degC), Point: (5.15, 3, 0.15)","Temperature (degC), Point: (7.95, 3, 0.15)","Temperature (degC), Point: (2.35, -1.65, 0.15)","Temperature (degC), Point: (5.15, -1.65, 0.15)","Temperature (degC), Point: (7.95, -1.65, 0.15)","Temperature (degC), Point: (2.35, 7.65, 1.5)","Temperature (degC), Point: (5.15, 7.65, 1.5)","Temperature (degC), Point: (7.95, 7.65, 1.5)","Temperature (degC), Point: (2.35, 3, 1.5)","Temperature (degC), Point: (5.15, 3, 1.5)","Temperature (degC), Point: (7.95, 3, 1.5)","Temperature (degC), Point: (2.35, -1.65, 1.5)","Temperature (degC), Point: (5.15, -1.65, 1.5)","Temperature (degC), Point: (7.95, -1.65, 1.5)","Temperature (degC), Point: (2.35, 7.65, 2.85)","Temperature (degC), Point: (5.15, 7.65, 2.85)","Temperature (degC), Point: (7.95, 7.65, 2.85)","Temperature (degC), Point: (2.35, 3, 2.85)","Temperature (degC), Point: (5.15, 3, 2.85)","Temperature (degC), Point: (7.95, 3, 2.85)","Temperature (degC), Point: (2.35, -1.65, 2.85)","Temperature (degC), Point: (5.15, -1.65, 2.85)","Temperature (degC), Point: (7.95, -1.65, 2.85)",T_outer (degC)
0,20.000005403633452,20.000012682250542,19.999932244868376,20.000005606172124,20.000020100324832,19.999927374207232,20.000045750721938,20.00001439033872,19.999926897281625,20.0000202816708,20.00002249155682,19.999894367437378,19.999979344253063,20.00000000388559,19.999934639418086,20.000052209389708,20.00000779992706,19.99992477464673,20.00003784297502,20.00001382869266,19.999924385920735,19.999976338836746,20.000012609155135,19.999926496804733,20.000054069623957,19.99999712511959,19.999935823494923,19.30000000000001
300,20.00519349692661,20.004400869107542,19.981717570732314,20.00355823011796,20.00587948576822,19.98011448953912,20.012413514970888,20.006851949122506,19.980423886967003,20.005975184650424,20.007446534507096,19.973551351224103,20.00007115052449,19.999999766723647,19.981739000945993,20.01431956742681,20.00550228324778,19.97960937503649,20.010655758639643,20.007063869612352,19.980061487249145,20.0040802605497,20.005771295715476,19.979990708779496,20.01411419507275,20.003060268568902,19.98246693871488,19.19999999999999
600,20.012016368057516,20.009203556442287,19.962567088686512,20.00794522649187,20.012009437512177,19.959106323995684,20.02521754823391,20.014447028309576,19.960024191210266,20.012322210446996,20.015074143093955,19.94713986299388,19.998909212046158,20.000004867265318,19.962201094565728,20.028980371806824,20.01185644692424,19.958231331491902,20.021870309327255,20.01494132750082,19.95943992278478,20.010413454727313,20.01217077789761,19.958923131425138,20.028376895377107,20.007477365601403,19.963955469320695,19.30000000000001
900,20.01991609202554,20.01451004445869,19.94191133809079,20.01294759623238,20.018476483213476,19.936350807108283,20.038847464692537,20.022824241457045,19.938087018902934,20.01918574223282,20.02312268088832,19.919396497121454,19.99608276743038,20.000009894236996,19.94088834597187,20.04446800018502,20.018925163971687,19.93518652201783,20.03393351403622,20.023604254275142,19.937338589167325,20.017965585942818,20.019167165753515,19.936143715607045,20.043389183934437,20.012906668557093,19.94390287785359,19.100000000000023
1200,20.02919173456513,20.020570476937394,19.9189077066153,20.01876765311158,20.025450126794794,19.910904102303277,20.05378985551613,20.03233605210204,19.913733118551875,20.02683256221843,20.031846061224485,19.889336715740228,19.99072895559368,20.000013112584554,19.916882401057137,20.06128322832808,20.026977704379874,19.90955024965092,20.047298706388062,20.033385640043548,19.912878399130534,20.026955993800186,20.02700973073314,19.910715473416985,20.059653550388134,20.01968676964367,19.92147306544797,19.30000000000001
1500,20.03799065288382,20.02623071885398,19.89631966574126,20.024040840127952,20.031554517669974,19.885783058757056,20.067082505622466,20.041032677264297,19.890035813594125,20.03345659599978,20.039454512416967,19.86163735267553,19.98111392570371,20.000014362226807,19.892802446770872,20.07570692376902,20.034465870980796,19.88456967331507,20.05930452704348,20.04211814665814,19.8891940637003,20.03549903253628,20.03414862576369,19.885700613207064,20.073650350810397,20.026595988066504,19.89923831726611,19.19999999999999
1800,20.04453027150055,20.030437422013676,19.876969770707092,20.027562573273826,20.03575107304289,19.864139908497123,20.076366566326783,20.047211614612706,19.870026508958745,20.037629018296514,20.04458822964284,19.840157845110696,19.967681483257422,20.00001455624033,19.87158270702338,20.084954787222728,20.039991914500774,19.86346872097033,20.067763710596296,20.047988328995302,19.869318774922363,20.041759418890877,20.039261395695462,19.864252908777075,20.082747018339205,20.032213328377452,19.879932084129564,19
2100,20.051069890117276,20.034644125173486,19.85761987567281,20.0310843064197,20.039947628415803,19.842496758237246,20.085650627031214,20.05339055196123,19.850017204323308,20.041801440593304,20.049721946868715,19.818678337545805,19.954249040811078,20.000014750253854,19.850362967275828,20.094202650676493,20.04551795802064,19.84236776862565,20.076222894149055,20.053858511332464,19.849443486144423,20.048019805245417,20.044374165627175,19.84280520434703,20.091843685867957,20.037830668688343,19.86062585099296,19.19999999999999
2400,20.05760950873406,20.03885082833324,19.838269980638643,20.034606039565574,20.044144183788717,19.82085360797737,20.09493468773553,20.059569489309695,19.830007899687928,20.04597386289015,20.054855664094532,19.79719882998097,19.940816598364734,20.000014944267377,19.829143227528334,20.10345051413026,20.051044001540618,19.821266816280968,20.08468207770187,20.05972869366974,19.82956819736654,20.0542801915999,20.049486935558946,19.821357499916985,20.10094035339671,20.043448008999235,19.84131961785647,19.30000000000001
2700,20.064149127350845,20.043057531492877,19.818920085604418,20.03812777271139,20.04834073916163,19.799210457717436,20.104218748439905,20.06574842665816,19.809998595052548,20.050146285186827,20.059989381320463,19.775719322416137,19.92738415591839,20.0000151382809,19.807923487780783,20.112698377584024,20.05657004506054,19.800165863936343,20.093141261254686,20.065598876006845,19.8096929085886,20.060540577954384,20.05459970549066,19.799909795486997,20.110037020925574,20.049065349310183,19.822013384719924,19
